,cellID,cellType,sampleID
585,human1_lib2.final_cell_0018,acinar,indiv1
621,human1_lib2.final_cell_0054,acinar,indiv1
634,human1_lib2.final_cell_0067,acinar,indiv1
639,human1_lib2.final_cell_0072,acinar,indiv1
655,human1_lib2.final_cell_0088,acinar,indiv1
678,human1_lib2.final_cell_0111,acinar,indiv1
679,human1_lib2.final_cell_0112,acinar,indiv1
691,human1_lib2.final_cell_0124,acinar,indiv1
693,human1_lib2.final_cell_0126,acinar,indiv1
706,human1_lib2.final_cell_0139,acinar,indiv1
744,human1_lib2.final_cell_0177,acinar,indiv1
792,human1_lib2.final_cell_0225,acinar,indiv1
845,human1_lib2.final_cell_0278,acinar,indiv1
859,human1_lib2.final_cell_0292,acinar,indiv1
942,human1_lib2.final_cell_0375,acinar,indiv1
944,human1_lib2.final_cell_0377,acinar,indiv1
950,human1_lib2.final_cell_0383,acinar,indiv1
962,human1_lib2.final_cell_0395,acinar,indiv1
971,human1_lib2.final_cell_0404,acinar,indiv1
972,human1_lib2.final_cell_0405,acinar,indiv1
986,human1_lib2.final_cell_0419,acinar,indiv1
1003,human1_lib2.final_cell_0436,acinar,indiv1
1038,human1_lib2.final_cell_0471,acinar,indiv1
1109,human1_lib2.final_cell_0542,acinar,indiv1
1149,human1_lib2.final_cell_0582,acinar,indiv1
1183,human1_lib2.final_cell_0616,acinar,indiv1
1197,human1_lib3.final_cell_0001,acinar,indiv1
1198,human1_lib3.final_cell_0002,acinar,indiv1
1200,human1_lib3.final_cell_0004,acinar,indiv1
1202,human1_lib3.final_cell_0006,acinar,indiv1
1203,human1_lib3.final_cell_0007,acinar,indiv1
1207,human1_lib3.final_cell_0011,acinar,indiv1
1216,human1_lib3.final_cell_0020,acinar,indiv1
1221,human1_lib3.final_cell_0025,acinar,indiv1
1226,human1_lib3.final_cell_0030,acinar,indiv1
1227,human1_lib3.final_cell_0031,acinar,indiv1
1239,human1_lib3.final_cell_0043,acinar,indiv1
1250,human1_lib3.final_cell_0054,acinar,indiv1
1263,human1_lib3.final_cell_0067,acinar,indiv1
1266,human1_lib3.final_cell_0070,acinar,indiv1
1278,human1_lib3.final_cell_0082,acinar,indiv1
1308,human1_lib3.final_cell_0112,acinar,indiv1
1309,human1_lib3.final_cell_0113,acinar,indiv1
1326,human1_lib3.final_cell_0130,acinar,indiv1
1339,human1_lib3.final_cell_0143,acinar,indiv1
1348,human1_lib3.final_cell_0152,acinar,indiv1
1352,human1_lib3.final_cell_0156,acinar,indiv1
1359,human1_lib3.final_cell_0163,acinar,indiv1
1367,human1_lib3.final_cell_0171,acinar,indiv1
1384,human1_lib3.final_cell_0188,acinar,indiv1
1427,human1_lib3.final_cell_0231,acinar,indiv1
1581,human1_lib3.final_cell_0385,acinar,indiv1
1582,human1_lib3.final_cell_0386,acinar,indiv1
1605,human1_lib3.final_cell_0409,acinar,indiv1
1623,human1_lib3.final_cell_0427,acinar,indiv1
1643,human1_lib3.final_cell_0447,acinar,indiv1
1646,human1_lib3.final_cell_0450,acinar,indiv1
1665,human1_lib3.final_cell_0469,acinar,indiv1
1704,human1_lib3.final_cell_0508,acinar,indiv1
1735,human1_lib3.final_cell_0539,acinar,indiv1
1737,human1_lib3.final_cell_0541,acinar,indiv1
1743,human1_lib3.final_cell_0547,acinar,indiv1
1756,human1_lib3.final_cell_0560,acinar,indiv1
1796,human1_lib3.final_cell_0600,acinar,indiv1
1797,human1_lib3.final_cell_0601,acinar,indiv1
1819,human1_lib3.final_cell_0623,acinar,indiv1
1820,human1_lib3.final_cell_0624,acinar,indiv1
1824,human1_lib3.final_cell_0628,acinar,indiv1
2649,human2_lib2.final_cell_0154,acinar,indiv2
3161,human2_lib3.final_cell_0066,acinar,indiv2
3289,human2_lib3.final_cell_0194,acinar,indiv2
6,human1_lib1.final_cell_0007,beta,indiv1
14,human1_lib1.final_cell_0015,beta,indiv1
16,human1_lib1.final_cell_0017,beta,indiv1
19,human1_lib1.final_cell_0020,beta,indiv1
20,human1_lib1.final_cell_0021,beta,indiv1
23,human1_lib1.final_cell_0024,beta,indiv1
26,human1_lib1.final_cell_0027,beta,indiv1
29,human1_lib1.final_cell_0030,beta,indiv1
34,human1_lib1.final_cell_0035,beta,indiv1
36,human1_lib1.final_cell_0037,beta,indiv1
37,human1_lib1.final_cell_0038,beta,indiv1
38,human1_lib1.final_cell_0039,beta,indiv1
41,human1_lib1.final_cell_0042,beta,indiv1
49,human1_lib1.final_cell_0050,beta,indiv1
51,human1_lib1.final_cell_0052,beta,indiv1
53,human1_lib1.final_cell_0054,beta,indiv1
54,human1_lib1.final_cell_0055,beta,indiv1
56,human1_lib1.final_cell_0057,beta,indiv1
57,human1_lib1.final_cell_0058,beta,indiv1
58,human1_lib1.final_cell_0059,beta,indiv1
59,human1_lib1.final_cell_0060,beta,indiv1
62,human1_lib1.final_cell_0063,beta,indiv1
67,human1_lib1.final_cell_0068,beta,indiv1
70,human1_lib1.final_cell_0071,beta,indiv1
71,human1_lib1.final_cell_0072,beta,indiv1
72,human1_lib1.final_cell_0073,beta,indiv1
74,human1_lib1.final_cell_0075,beta,indiv1
75,human1_lib1.final_cell_0076,beta,indiv1
77,human1_lib1.final_cell_0078,beta,indiv1
78,human1_lib1.final_cell_0079,beta,indiv1
79,human1_lib1.final_cell_0080,beta,indiv1
80,human1_lib1.final_cell_0081,beta,indiv1
81,human1_lib1.final_cell_0082,beta,indiv1
82,human1_lib1.final_cell_0083,beta,indiv1
87,human1_lib1.final_cell_0088,beta,indiv1
88,human1_lib1.final_cell_0089,beta,indiv1
89,human1_lib1.final_cell_0090,beta,indiv1
90,human1_lib1.final_cell_0091,beta,indiv1
91,human1_lib1.final_cell_0092,beta,indiv1
92,human1_lib1.final_cell_0093,beta,indiv1
93,human1_lib1.final_cell_0094,beta,indiv1
94,human1_lib1.final_cell_0095,beta,indiv1
95,human1_lib1.final_cell_0096,beta,indiv1
96,human1_lib1.final_cell_0097,beta,indiv1
99,human1_lib1.final_cell_0100,beta,indiv1
104,human1_lib1.final_cell_0105,beta,indiv1
105,human1_lib1.final_cell_0106,beta,indiv1
106,human1_lib1.final_cell_0107,beta,indiv1
107,human1_lib1.final_cell_0108,beta,indiv1
110,human1_lib1.final_cell_0111,beta,indiv1
111,human1_lib1.final_cell_0112,beta,indiv1
113,human1_lib1.final_cell_0114,beta,indiv1
114,human1_lib1.final_cell_0115,beta,indiv1
115,human1_lib1.final_cell_0116,beta,indiv1
117,human1_lib1.final_cell_0118,beta,indiv1
119,human1_lib1.final_cell_0120,beta,indiv1
120,human1_lib1.final_cell_0121,beta,indiv1
121,human1_lib1.final_cell_0122,beta,indiv1
123,human1_lib1.final_cell_0124,beta,indiv1
124,human1_lib1.final_cell_0125,beta,indiv1
125,human1_lib1.final_cell_0126,beta,indiv1
127,human1_lib1.final_cell_0128,beta,indiv1
129,human1_lib1.final_cell_0130,beta,indiv1
132,human1_lib1.final_cell_0133,beta,indiv1
135,human1_lib1.final_cell_0136,beta,indiv1
136,human1_lib1.final_cell_0137,beta,indiv1
138,human1_lib1.final_cell_0139,beta,indiv1
140,human1_lib1.final_cell_0141,beta,indiv1
141,human1_lib1.final_cell_0142,beta,indiv1
142,human1_lib1.final_cell_0143,beta,indiv1
143,human1_lib1.final_cell_0144,beta,indiv1
144,human1_lib1.final_cell_0145,beta,indiv1
146,human1_lib1.final_cell_0147,beta,indiv1
149,human1_lib1.final_cell_0150,beta,indiv1
150,human1_lib1.final_cell_0151,beta,indiv1
151,human1_lib1.final_cell_0152,beta,indiv1
152,human1_lib1.final_cell_0153,beta,indiv1
154,human1_lib1.final_cell_0155,beta,indiv1
156,human1_lib1.final_cell_0157,beta,indiv1
157,human1_lib1.final_cell_0158,beta,indiv1
159,human1_lib1.final_cell_0160,beta,indiv1
161,human1_lib1.final_cell_0162,beta,indiv1
163,human1_lib1.final_cell_0164,beta,indiv1
164,human1_lib1.final_cell_0165,beta,indiv1
165,human1_lib1.final_cell_0166,beta,indiv1
166,human1_lib1.final_cell_0167,beta,indiv1
167,human1_lib1.final_cell_0168,beta,indiv1
168,human1_lib1.final_cell_0169,beta,indiv1
169,human1_lib1.final_cell_0170,beta,indiv1
171,human1_lib1.final_cell_0172,beta,indiv1
173,human1_lib1.final_cell_0174,beta,indiv1
174,human1_lib1.final_cell_0175,beta,indiv1
175,human1_lib1.final_cell_0176,beta,indiv1
178,human1_lib1.final_cell_0179,beta,indiv1
180,human1_lib1.final_cell_0181,beta,indiv1
183,human1_lib1.final_cell_0184,beta,indiv1
185,human1_lib1.final_cell_0186,beta,indiv1
188,human1_lib1.final_cell_0189,beta,indiv1
189,human1_lib1.final_cell_0190,beta,indiv1
192,human1_lib1.final_cell_0193,beta,indiv1
193,human1_lib1.final_cell_0194,beta,indiv1
195,human1_lib1.final_cell_0196,beta,indiv1
198,human1_lib1.final_cell_0199,beta,indiv1
199,human1_lib1.final_cell_0200,beta,indiv1
203,human1_lib1.final_cell_0204,beta,indiv1
205,human1_lib1.final_cell_0206,beta,indiv1
209,human1_lib1.final_cell_0210,beta,indiv1
210,human1_lib1.final_cell_0211,beta,indiv1
212,human1_lib1.final_cell_0213,beta,indiv1
213,human1_lib1.final_cell_0214,beta,indiv1
219,human1_lib1.final_cell_0220,beta,indiv1
222,human1_lib1.final_cell_0223,beta,indiv1
223,human1_lib1.final_cell_0224,beta,indiv1
224,human1_lib1.final_cell_0225,beta,indiv1
226,human1_lib1.final_cell_0227,beta,indiv1
227,human1_lib1.final_cell_0228,beta,indiv1
230,human1_lib1.final_cell_0231,beta,indiv1
233,human1_lib1.final_cell_0234,beta,indiv1
235,human1_lib1.final_cell_0236,beta,indiv1
237,human1_lib1.final_cell_0238,beta,indiv1
238,human1_lib1.final_cell_0239,beta,indiv1
240,human1_lib1.final_cell_0241,beta,indiv1
242,human1_lib1.final_cell_0243,beta,indiv1
246,human1_lib1.final_cell_0247,beta,indiv1
248,human1_lib1.final_cell_0249,beta,indiv1
252,human1_lib1.final_cell_0253,beta,indiv1
253,human1_lib1.final_cell_0254,beta,indiv1
257,human1_lib1.final_cell_0258,beta,indiv1
258,human1_lib1.final_cell_0259,beta,indiv1
259,human1_lib1.final_cell_0260,beta,indiv1
263,human1_lib1.final_cell_0264,beta,indiv1
265,human1_lib1.final_cell_0266,beta,indiv1
266,human1_lib1.final_cell_0267,beta,indiv1
267,human1_lib1.final_cell_0268,beta,indiv1
275,human1_lib1.final_cell_0276,beta,indiv1
281,human1_lib1.final_cell_0282,beta,indiv1
282,human1_lib1.final_cell_0283,beta,indiv1
285,human1_lib1.final_cell_0286,beta,indiv1
289,human1_lib1.final_cell_0290,beta,indiv1
290,human1_lib1.final_cell_0291,beta,indiv1
291,human1_lib1.final_cell_0292,beta,indiv1
292,human1_lib1.final_cell_0293,beta,indiv1
293,human1_lib1.final_cell_0294,beta,indiv1
294,human1_lib1.final_cell_0295,beta,indiv1
295,human1_lib1.final_cell_0296,beta,indiv1
296,human1_lib1.final_cell_0297,beta,indiv1
297,human1_lib1.final_cell_0298,beta,indiv1
298,human1_lib1.final_cell_0299,beta,indiv1
299,human1_lib1.final_cell_0300,beta,indiv1
302,human1_lib1.final_cell_0303,beta,indiv1
303,human1_lib1.final_cell_0304,beta,indiv1
304,human1_lib1.final_cell_0305,beta,indiv1
306,human1_lib1.final_cell_0307,beta,indiv1
310,human1_lib1.final_cell_0311,beta,indiv1
311,human1_lib1.final_cell_0312,beta,indiv1
313,human1_lib1.final_cell_0314,beta,indiv1
314,human1_lib1.final_cell_0315,beta,indiv1
315,human1_lib1.final_cell_0316,beta,indiv1
316,human1_lib1.final_cell_0317,beta,indiv1
317,human1_lib1.final_cell_0318,beta,indiv1
319,human1_lib1.final_cell_0320,beta,indiv1
327,human1_lib1.final_cell_0328,beta,indiv1
328,human1_lib1.final_cell_0329,beta,indiv1
330,human1_lib1.final_cell_0331,beta,indiv1
332,human1_lib1.final_cell_0333,beta,indiv1
334,human1_lib1.final_cell_0335,beta,indiv1
335,human1_lib1.final_cell_0336,beta,indiv1
338,human1_lib1.final_cell_0339,beta,indiv1
339,human1_lib1.final_cell_0340,beta,indiv1
340,human1_lib1.final_cell_0341,beta,indiv1
343,human1_lib1.final_cell_0344,beta,indiv1
345,human1_lib1.final_cell_0346,beta,indiv1
346,human1_lib1.final_cell_0347,beta,indiv1
348,human1_lib1.final_cell_0349,beta,indiv1
350,human1_lib1.final_cell_0351,beta,indiv1
352,human1_lib1.final_cell_0353,beta,indiv1
355,human1_lib1.final_cell_0356,beta,indiv1
358,human1_lib1.final_cell_0359,beta,indiv1
362,human1_lib1.final_cell_0363,beta,indiv1
363,human1_lib1.final_cell_0364,beta,indiv1
367,human1_lib1.final_cell_0368,beta,indiv1
368,human1_lib1.final_cell_0369,beta,indiv1
377,human1_lib1.final_cell_0378,beta,indiv1
378,human1_lib1.final_cell_0379,beta,indiv1
385,human1_lib1.final_cell_0386,beta,indiv1
386,human1_lib1.final_cell_0387,beta,indiv1
388,human1_lib1.final_cell_0389,beta,indiv1
390,human1_lib1.final_cell_0391,beta,indiv1
391,human1_lib1.final_cell_0392,beta,indiv1
392,human1_lib1.final_cell_0393,beta,indiv1
393,human1_lib1.final_cell_0394,beta,indiv1
394,human1_lib1.final_cell_0395,beta,indiv1
396,human1_lib1.final_cell_0397,beta,indiv1
399,human1_lib1.final_cell_0400,beta,indiv1
401,human1_lib1.final_cell_0402,beta,indiv1
404,human1_lib1.final_cell_0405,beta,indiv1
408,human1_lib1.final_cell_0409,beta,indiv1
415,human1_lib1.final_cell_0416,beta,indiv1
423,human1_lib1.final_cell_0424,beta,indiv1
424,human1_lib1.final_cell_0425,beta,indiv1
426,human1_lib1.final_cell_0427,beta,indiv1
428,human1_lib1.final_cell_0429,beta,indiv1
433,human1_lib1.final_cell_0434,beta,indiv1
437,human1_lib1.final_cell_0438,beta,indiv1
438,human1_lib1.final_cell_0439,beta,indiv1
440,human1_lib1.final_cell_0441,beta,indiv1
441,human1_lib1.final_cell_0442,beta,indiv1
445,human1_lib1.final_cell_0446,beta,indiv1
446,human1_lib1.final_cell_0447,beta,indiv1
447,human1_lib1.final_cell_0448,beta,indiv1
450,human1_lib1.final_cell_0451,beta,indiv1
459,human1_lib1.final_cell_0460,beta,indiv1
461,human1_lib1.final_cell_0462,beta,indiv1
464,human1_lib1.final_cell_0465,beta,indiv1
467,human1_lib1.final_cell_0468,beta,indiv1
468,human1_lib1.final_cell_0469,beta,indiv1
469,human1_lib1.final_cell_0470,beta,indiv1
470,human1_lib1.final_cell_0471,beta,indiv1
471,human1_lib1.final_cell_0472,beta,indiv1
472,human1_lib1.final_cell_0473,beta,indiv1
473,human1_lib1.final_cell_0474,beta,indiv1
474,human1_lib1.final_cell_0475,beta,indiv1
477,human1_lib1.final_cell_0478,beta,indiv1
479,human1_lib1.final_cell_0480,beta,indiv1
481,human1_lib1.final_cell_0482,beta,indiv1
482,human1_lib1.final_cell_0483,beta,indiv1
486,human1_lib1.final_cell_0487,beta,indiv1
490,human1_lib1.final_cell_0491,beta,indiv1
496,human1_lib1.final_cell_0497,beta,indiv1
500,human1_lib1.final_cell_0501,beta,indiv1
503,human1_lib1.final_cell_0504,beta,indiv1
507,human1_lib1.final_cell_0508,beta,indiv1
511,human1_lib1.final_cell_0512,beta,indiv1
513,human1_lib1.final_cell_0514,beta,indiv1
516,human1_lib1.final_cell_0517,beta,indiv1
517,human1_lib1.final_cell_0518,beta,indiv1
521,human1_lib1.final_cell_0522,beta,indiv1
522,human1_lib1.final_cell_0523,beta,indiv1
523,human1_lib1.final_cell_0524,beta,indiv1
524,human1_lib1.final_cell_0525,beta,indiv1
527,human1_lib1.final_cell_0528,beta,indiv1
528,human1_lib1.final_cell_0529,beta,indiv1
530,human1_lib1.final_cell_0531,beta,indiv1
532,human1_lib1.final_cell_0533,beta,indiv1
534,human1_lib1.final_cell_0535,beta,indiv1
538,human1_lib1.final_cell_0539,beta,indiv1
541,human1_lib1.final_cell_0542,beta,indiv1
545,human1_lib1.final_cell_0546,beta,indiv1
546,human1_lib1.final_cell_0547,beta,indiv1
548,human1_lib1.final_cell_0549,beta,indiv1
549,human1_lib1.final_cell_0550,beta,indiv1
550,human1_lib1.final_cell_0551,beta,indiv1
555,human1_lib1.final_cell_0556,beta,indiv1
559,human1_lib1.final_cell_0560,beta,indiv1
562,human1_lib1.final_cell_0563,beta,indiv1
567,human1_lib1.final_cell_0568,beta,indiv1
584,human1_lib2.final_cell_0017,beta,indiv1
588,human1_lib2.final_cell_0021,beta,indiv1
594,human1_lib2.final_cell_0027,beta,indiv1
596,human1_lib2.final_cell_0029,beta,indiv1
597,human1_lib2.final_cell_0030,beta,indiv1
600,human1_lib2.final_cell_0033,beta,indiv1
602,human1_lib2.final_cell_0035,beta,indiv1
604,human1_lib2.final_cell_0037,beta,indiv1
606,human1_lib2.final_cell_0039,beta,indiv1
609,human1_lib2.final_cell_0042,beta,indiv1
613,human1_lib2.final_cell_0046,beta,indiv1
617,human1_lib2.final_cell_0050,beta,indiv1
620,human1_lib2.final_cell_0053,beta,indiv1
622,human1_lib2.final_cell_0055,beta,indiv1
623,human1_lib2.final_cell_0056,beta,indiv1
624,human1_lib2.final_cell_0057,beta,indiv1
627,human1_lib2.final_cell_0060,beta,indiv1
628,human1_lib2.final_cell_0061,beta,indiv1
629,human1_lib2.final_cell_0062,beta,indiv1
631,human1_lib2.final_cell_0064,beta,indiv1
636,human1_lib2.final_cell_0069,beta,indiv1
637,human1_lib2.final_cell_0070,beta,indiv1
638,human1_lib2.final_cell_0071,beta,indiv1
640,human1_lib2.final_cell_0073,beta,indiv1
642,human1_lib2.final_cell_0075,beta,indiv1
643,human1_lib2.final_cell_0076,beta,indiv1
644,human1_lib2.final_cell_0077,beta,indiv1
647,human1_lib2.final_cell_0080,beta,indiv1
649,human1_lib2.final_cell_0082,beta,indiv1
650,human1_lib2.final_cell_0083,beta,indiv1
651,human1_lib2.final_cell_0084,beta,indiv1
652,human1_lib2.final_cell_0085,beta,indiv1
653,human1_lib2.final_cell_0086,beta,indiv1
654,human1_lib2.final_cell_0087,beta,indiv1
656,human1_lib2.final_cell_0089,beta,indiv1
657,human1_lib2.final_cell_0090,beta,indiv1
658,human1_lib2.final_cell_0091,beta,indiv1
661,human1_lib2.final_cell_0094,beta,indiv1
663,human1_lib2.final_cell_0096,beta,indiv1
665,human1_lib2.final_cell_0098,beta,indiv1
667,human1_lib2.final_cell_0100,beta,indiv1
668,human1_lib2.final_cell_0101,beta,indiv1
671,human1_lib2.final_cell_0104,beta,indiv1
672,human1_lib2.final_cell_0105,beta,indiv1
674,human1_lib2.final_cell_0107,beta,indiv1
675,human1_lib2.final_cell_0108,beta,indiv1
676,human1_lib2.final_cell_0109,beta,indiv1
677,human1_lib2.final_cell_0110,beta,indiv1
680,human1_lib2.final_cell_0113,beta,indiv1
682,human1_lib2.final_cell_0115,beta,indiv1
684,human1_lib2.final_cell_0117,beta,indiv1
685,human1_lib2.final_cell_0118,beta,indiv1
686,human1_lib2.final_cell_0119,beta,indiv1
687,human1_lib2.final_cell_0120,beta,indiv1
688,human1_lib2.final_cell_0121,beta,indiv1
690,human1_lib2.final_cell_0123,beta,indiv1
692,human1_lib2.final_cell_0125,beta,indiv1
694,human1_lib2.final_cell_0127,beta,indiv1
696,human1_lib2.final_cell_0129,beta,indiv1
699,human1_lib2.final_cell_0132,beta,indiv1
702,human1_lib2.final_cell_0135,beta,indiv1
703,human1_lib2.final_cell_0136,beta,indiv1
704,human1_lib2.final_cell_0137,beta,indiv1
705,human1_lib2.final_cell_0138,beta,indiv1
707,human1_lib2.final_cell_0140,beta,indiv1
708,human1_lib2.final_cell_0141,beta,indiv1
709,human1_lib2.final_cell_0142,beta,indiv1
711,human1_lib2.final_cell_0144,beta,indiv1
713,human1_lib2.final_cell_0146,beta,indiv1
714,human1_lib2.final_cell_0147,beta,indiv1
717,human1_lib2.final_cell_0150,beta,indiv1
719,human1_lib2.final_cell_0152,beta,indiv1
720,human1_lib2.final_cell_0153,beta,indiv1
721,human1_lib2.final_cell_0154,beta,indiv1
722,human1_lib2.final_cell_0155,beta,indiv1
723,human1_lib2.final_cell_0156,beta,indiv1
725,human1_lib2.final_cell_0158,beta,indiv1
726,human1_lib2.final_cell_0159,beta,indiv1
728,human1_lib2.final_cell_0161,beta,indiv1
729,human1_lib2.final_cell_0162,beta,indiv1
730,human1_lib2.final_cell_0163,beta,indiv1
731,human1_lib2.final_cell_0164,beta,indiv1
732,human1_lib2.final_cell_0165,beta,indiv1
734,human1_lib2.final_cell_0167,beta,indiv1
735,human1_lib2.final_cell_0168,beta,indiv1
737,human1_lib2.final_cell_0170,beta,indiv1
738,human1_lib2.final_cell_0171,beta,indiv1
739,human1_lib2.final_cell_0172,beta,indiv1
740,human1_lib2.final_cell_0173,beta,indiv1
742,human1_lib2.final_cell_0175,beta,indiv1
743,human1_lib2.final_cell_0176,beta,indiv1
745,human1_lib2.final_cell_0178,beta,indiv1
746,human1_lib2.final_cell_0179,beta,indiv1
747,human1_lib2.final_cell_0180,beta,indiv1
748,human1_lib2.final_cell_0181,beta,indiv1
750,human1_lib2.final_cell_0183,beta,indiv1
752,human1_lib2.final_cell_0185,beta,indiv1
754,human1_lib2.final_cell_0187,beta,indiv1
755,human1_lib2.final_cell_0188,beta,indiv1
756,human1_lib2.final_cell_0189,beta,indiv1
757,human1_lib2.final_cell_0190,beta,indiv1
759,human1_lib2.final_cell_0192,beta,indiv1
760,human1_lib2.final_cell_0193,beta,indiv1
762,human1_lib2.final_cell_0195,beta,indiv1
763,human1_lib2.final_cell_0196,beta,indiv1
764,human1_lib2.final_cell_0197,beta,indiv1
765,human1_lib2.final_cell_0198,beta,indiv1
766,human1_lib2.final_cell_0199,beta,indiv1
767,human1_lib2.final_cell_0200,beta,indiv1
768,human1_lib2.final_cell_0201,beta,indiv1
770,human1_lib2.final_cell_0203,beta,indiv1
771,human1_lib2.final_cell_0204,beta,indiv1
774,human1_lib2.final_cell_0207,beta,indiv1
775,human1_lib2.final_cell_0208,beta,indiv1
776,human1_lib2.final_cell_0209,beta,indiv1
778,human1_lib2.final_cell_0211,beta,indiv1
780,human1_lib2.final_cell_0213,beta,indiv1
781,human1_lib2.final_cell_0214,beta,indiv1
782,human1_lib2.final_cell_0215,beta,indiv1
783,human1_lib2.final_cell_0216,beta,indiv1
786,human1_lib2.final_cell_0219,beta,indiv1
788,human1_lib2.final_cell_0221,beta,indiv1
789,human1_lib2.final_cell_0222,beta,indiv1
794,human1_lib2.final_cell_0227,beta,indiv1
795,human1_lib2.final_cell_0228,beta,indiv1
796,human1_lib2.final_cell_0229,beta,indiv1
801,human1_lib2.final_cell_0234,beta,indiv1
803,human1_lib2.final_cell_0236,beta,indiv1
804,human1_lib2.final_cell_0237,beta,indiv1
805,human1_lib2.final_cell_0238,beta,indiv1
806,human1_lib2.final_cell_0239,beta,indiv1
807,human1_lib2.final_cell_0240,beta,indiv1
809,human1_lib2.final_cell_0242,beta,indiv1
811,human1_lib2.final_cell_0244,beta,indiv1
813,human1_lib2.final_cell_0246,beta,indiv1
819,human1_lib2.final_cell_0252,beta,indiv1
822,human1_lib2.final_cell_0255,beta,indiv1
823,human1_lib2.final_cell_0256,beta,indiv1
826,human1_lib2.final_cell_0259,beta,indiv1
827,human1_lib2.final_cell_0260,beta,indiv1
833,human1_lib2.final_cell_0266,beta,indiv1
836,human1_lib2.final_cell_0269,beta,indiv1
838,human1_lib2.final_cell_0271,beta,indiv1
841,human1_lib2.final_cell_0274,beta,indiv1
844,human1_lib2.final_cell_0277,beta,indiv1
846,human1_lib2.final_cell_0279,beta,indiv1
847,human1_lib2.final_cell_0280,beta,indiv1
848,human1_lib2.final_cell_0281,beta,indiv1
849,human1_lib2.final_cell_0282,beta,indiv1
850,human1_lib2.final_cell_0283,beta,indiv1
852,human1_lib2.final_cell_0285,beta,indiv1
853,human1_lib2.final_cell_0286,beta,indiv1
856,human1_lib2.final_cell_0289,beta,indiv1
857,human1_lib2.final_cell_0290,beta,indiv1
862,human1_lib2.final_cell_0295,beta,indiv1
866,human1_lib2.final_cell_0299,beta,indiv1
867,human1_lib2.final_cell_0300,beta,indiv1
872,human1_lib2.final_cell_0305,beta,indiv1
873,human1_lib2.final_cell_0306,beta,indiv1
874,human1_lib2.final_cell_0307,beta,indiv1
881,human1_lib2.final_cell_0314,beta,indiv1
883,human1_lib2.final_cell_0316,beta,indiv1
884,human1_lib2.final_cell_0317,beta,indiv1
885,human1_lib2.final_cell_0318,beta,indiv1
887,human1_lib2.final_cell_0320,beta,indiv1
889,human1_lib2.final_cell_0322,beta,indiv1
890,human1_lib2.final_cell_0323,beta,indiv1
892,human1_lib2.final_cell_0325,beta,indiv1
894,human1_lib2.final_cell_0327,beta,indiv1
895,human1_lib2.final_cell_0328,beta,indiv1
900,human1_lib2.final_cell_0333,beta,indiv1
903,human1_lib2.final_cell_0336,beta,indiv1
909,human1_lib2.final_cell_0342,beta,indiv1
911,human1_lib2.final_cell_0344,beta,indiv1
912,human1_lib2.final_cell_0345,beta,indiv1
915,human1_lib2.final_cell_0348,beta,indiv1
917,human1_lib2.final_cell_0350,beta,indiv1
919,human1_lib2.final_cell_0352,beta,indiv1
920,human1_lib2.final_cell_0353,beta,indiv1
923,human1_lib2.final_cell_0356,beta,indiv1
924,human1_lib2.final_cell_0357,beta,indiv1
925,human1_lib2.final_cell_0358,beta,indiv1
926,human1_lib2.final_cell_0359,beta,indiv1
